Material,Ultimate tensile strength,Yield strength,Young's modulus,Shear modulus,Poisson's ratio,Density,Use
Steel SAE 1015,421,314,207000,79000,0.3,7860,Yes
Steel SAE 1015,424,324,207000,79000,0.3,7860,Yes
Steel SAE 1015,386,284,207000,79000,0.3,7860,No
Steel SAE 1020,448,331,207000,79000,0.3,7860,Yes
Steel SAE 1020,441,346,207000,79000,0.3,7860,Yes
Steel SAE 1020,395,295,207000,79000,0.3,7860,Yes
Steel SAE 1022,503,359,207000,79000,0.3,7860,No
Steel SAE 1022,483,359,207000,79000,0.3,7860,No
Steel SAE 1022,450,317,207000,79000,0.3,7860,Yes
Steel SAE 1030,552,345,207000,79000,0.3,7860,No
Steel SAE 1030,517,345,207000,79000,0.3,7860,No
Steel SAE 1030,464,341,207000,79000,0.3,7860,Yes
Steel SAE 1030,848,648,207000,79000,0.3,7860,No
Steel SAE 1040,621,414,207000,79000,0.3,7860,No
Steel SAE 1040,590,374,207000,79000,0.3,7860,No
Steel SAE 1040,519,353,207000,79000,0.3,7860,No
Steel SAE 1040,779,593,207000,79000,0.3,7860,No
Steel SAE 1050,724,414,207000,79000,0.3,7860,No
Steel SAE 1050,748,427,207000,79000,0.3,7860,No
Steel SAE 1050,636,365,207000,79000,0.3,7860,No
Steel SAE 1050,979,724,207000,79000,0.3,7860,No
Steel SAE 1060,814,483,207000,79000,0.3,7860,No
Steel SAE 1060,776,421,207000,79000,0.3,7860,No
Steel SAE 1060,626,372,207000,79000,0.3,7860,No
Steel SAE 1060,1103,779,207000,79000,0.3,7860,No
Steel SAE 1080,965,586,207000,79000,0.3,7860,No
Steel SAE 1080,1010,524,207000,79000,0.3,7860,No
Steel SAE 1080,615,376,207000,79000,0.3,7860,No
Steel SAE 1080,1303,979,207000,79000,0.3,7860,No
Steel SAE 1095,965,572,207000,79000,0.3,7860,No
Steel SAE 1095,1014,500,207000,79000,0.3,7860,No
Steel SAE 1095,657,379,207000,79000,0.3,7860,No
Steel SAE 1095,1289,827,207000,79000,0.3,7860,No
Steel SAE 1117,487,305,207000,79000,0.3,7860,Yes
